Team,pts,gf,ga,gd,position,status
Arsenal,86,84,25,59,1,Champions
Man City,82,74,35,39,2,Champions League Qualification
Man United,69,68,48,20,3,Champions League Qualification
Liverpool,64,66,52,14,4,Champions League Qualification
Aston Villa,62,52,49,3,5,Champions League Qualification
Chelsea,58,65,43,22,6,Europe League Qualification
Everton,57,44,40,4,7,Europe League Qualification
Newcastle,54,58,55,3,8,Conference League Qualification
Fulham,54,53,56,-3,9,
Brentford,54,57,61,-4,10,
Bournemouth,54,55,61,-6,11,
Sunderland,51,36,47,-11,12,
Brighton,50,49,49,0,13,
Crystal Palace,49,43,48,-5,14,
West Ham,43,48,63,-15,15,
Leeds,41,46,60,-14,16,
Nott'm Forest,37,35,54,-19,17,
Tottenham,34,47,63,-16,18,Relegation to Championship
Wolves,24,30,61,-31,19,Relegation to Championship
Burnley,24,36,76,-40,20,Relegation to Championship
